prediction_date,target_date,horizon,predicted,actual,error,abs_error,pct_error
2025-09-09,2025-09-15,6,729904.6506882495,95937,-633967.6506882495,633967.6506882495,660.8166303806138
2025-09-09,2025-09-16,7,730018.0170262819,188943,-541075.0170262819,541075.0170262819,286.3694431793091
2025-09-16,2025-09-17,1,828255.0333284633,179330,-648925.0333284633,648925.0333284633,361.86083384177954
2025-09-16,2025-09-18,2,826471.4717680435,154300,-672171.4717680435,672171.4717680435,435.6263588905013
2025-09-16,2025-09-19,3,826471.4717680435,149361,-677110.4717680435,677110.4717680435,453.33820191887
2025-09-16,2025-09-20,4,826471.4717680435,161828,-664643.4717680435,664643.4717680435,410.70981027266197
2025-09-16,2025-09-21,5,818273.1832979212,107549,-710724.1832979212,710724.1832979212,660.8375561817601
2025-09-16,2025-09-22,6,820056.7448583411,119618,-700438.7448583411,700438.7448583411,585.5629962533574
2025-09-16,2025-09-23,7,820056.7448583411,252016,-568040.7448583411,568040.7448583411,225.3986829639154
2025-09-23,2025-09-24,1,213686.00941047055,171189,-42497.00941047055,42497.00941047055,24.82461455494836
2025-09-23,2025-09-25,2,214388.9381158319,224831,10442.061884168099,10442.061884168099,4.644404857056233
2025-09-23,2025-09-26,3,214388.9381158319,200869,-13519.938115831901,13519.938115831901,6.7307240618671385
2025-09-23,2025-09-27,4,214388.9381158319,155567,-58821.9381158319,58821.9381158319,37.81132124154345
2025-09-23,2025-09-28,5,213531.23936229554,140041,-73490.23936229554,73490.23936229554,52.47765965845398
2025-09-23,2025-09-29,6,207802.2749789281,173265,-34537.27497892809,34537.27497892809,19.933209233791068
2025-09-23,2025-09-30,7,213686.00941047055,215088,1401.9905895294505,1401.9905895294505,0.6518218540920231
2025-09-30,2025-10-01,1,177896.84193802948,163852,-14044.84193802948,14044.84193802948,8.571663414562824
2025-09-30,2025-10-02,2,177964.36380328162,124451,-53513.36380328162,53513.36380328162,42.99954504446057
2025-09-30,2025-10-03,3,171214.71133502864,120933,-50281.71133502864,50281.71133502864,41.578155950012516
2025-09-30,2025-10-04,4,169154.81518541282,119875,-49279.81518541282,49279.81518541282,41.10933487834229
2025-09-30,2025-10-05,5,163733.30065974582,99647,-64086.300659745815,64086.300659745815,64.31332670300743
2025-09-30,2025-10-06,6,162589.86249011374,99044,-63545.86249011374,63545.86249011374,64.15922467803577
2025-09-30,2025-10-07,7,168582.3702612841,115721,-52861.370261284086,52861.370261284086,45.680015089123046
2025-10-07,2025-10-08,1,163033.47831810638,109819,-53214.47831810638,53214.47831810638,48.45653149100464
2025-10-07,2025-10-09,2,163686.25610116942,129620,-34066.25610116942,34066.25610116942,26.281635628120213
2025-10-07,2025-10-10,3,163686.25610116942,135977,-27709.25610116942,27709.25610116942,20.377899277943637
2025-10-07,2025-10-11,4,163686.25610116942,652961,489274.7438988306,489274.7438988306,74.93169483304985
2025-10-07,2025-10-12,5,163338.2078691181,624204,460865.7921308819,460865.7921308819,73.83255988921601
2025-10-07,2025-10-13,6,158135.87698623212,657215,499079.1230137679,499079.1230137679,75.93848634218145
2025-10-07,2025-10-14,7,164128.38475740235,700627,536498.6152425976,536498.6152425976,76.57407083121228
2025-10-14,2025-10-15,1,516076.74312699493,754022,237945.25687300507,237945.25687300507,31.55680562012847
2025-10-14,2025-10-16,2,544255.0817361024,687446,143190.91826389765,143190.91826389765,20.829405984455164
2025-10-14,2025-10-17,3,544255.0817361024,763400,219144.91826389765,219144.91826389765,28.706434145126757
2025-10-14,2025-10-18,4,544255.0817361024,910816,366560.91826389765,366560.91826389765,40.245331468035
2025-10-14,2025-10-19,5,538564.4061198343,706039,167474.59388016572,167474.59388016572,23.720303535663852
2025-10-14,2025-10-20,6,542423.6996277004,639897,97473.30037229962,97473.30037229962,15.232654688535751
2025-10-14,2025-10-21,7,542423.6996277004,446728,-95695.69962770038,95695.69962770038,21.421468908978255
2025-10-21,2025-10-22,1,499520.3636109415,528856,29335.63638905849,29335.63638905849,5.546998878533758
2025-10-21,2025-10-23,2,502930.5605471222,583807,80876.43945287779,80876.43945287779,13.85328361134378
2025-10-21,2025-10-24,3,506544.32099026523,779680,273135.67900973477,273135.67900973477,35.031766751710286
2025-10-21,2025-10-25,4,508882.5976433979,768890,260007.40235660208,260007.40235660208,33.81594276900494
2025-10-21,2025-10-26,5,508981.8542273696,548746,39764.14577263041,39764.14577263041,7.246366401327829
2025-10-21,2025-10-27,6,502930.5605471222,531811,28880.439452877792,28880.439452877792,5.430583318674828
2025-10-21,2025-10-28,7,502930.5605471222,596206,93275.43945287779,93275.43945287779,15.644834076288697
2025-10-28,2025-10-29,1,680994.7210716029,559179,-121815.7210716029,121815.7210716029,21.784745326917303
2025-10-28,2025-10-30,2,680994.7210716029,592740,-88254.7210716029,88254.7210716029,14.8892804723155
2025-10-28,2025-10-31,3,680994.7210716029,568779,-112215.7210716029,112215.7210716029,19.729230697969317
2025-10-28,2025-11-01,4,640875.2750062679,547857,-93018.27500626794,93018.27500626794,16.978568313678196
2025-10-28,2025-11-02,5,643453.601607508,498711,-144742.60160750803,144742.60160750803,29.02334249846264
2025-10-28,2025-11-03,6,656155.1609686583,506828,-149327.16096865828,149327.16096865828,29.4630843143351
2025-10-28,2025-11-04,7,668820.3785904286,552270,-116550.37859042862,116550.37859042862,21.103876471730967
2025-11-04,2025-11-05,1,574821.6304940494,569888,-4933.630494049401,4933.630494049401,0.8657193157338637
2025-11-04,2025-11-06,2,574821.6304940494,669029,94207.3695059506,94207.3695059506,14.081208662995264
2025-11-04,2025-11-07,3,574821.6304940494,605405,30583.3695059506,30583.3695059506,5.051720667313715
2025-11-04,2025-11-08,4,574821.6304940494,513782,-61039.6304940494,61039.6304940494,11.880453284476568
2025-11-04,2025-11-09,5,574091.2216781722,194217,-379874.22167817224,379874.22167817224,195.5926729782523
2025-11-04,2025-11-10,6,572619.7346283759,140908,-431711.73462837585,431711.73462837585,306.37844169839605
2025-11-04,2025-11-11,7,574821.6304940494,167817,-407004.6304940494,407004.6304940494,242.52884421366693
2025-11-11,2025-11-12,1,510038.2120868351,140036,-370002.2120868351,370002.2120868351,264.2193522285949
2025-11-11,2025-11-13,2,510038.2120868351,164728,-345310.2120868351,345310.2120868351,209.62447919408666
2025-11-11,2025-11-14,3,510038.2120868351,250730,-259308.21208683512,259308.21208683512,103.42129465434336
2025-11-11,2025-11-15,4,504972.5121381679,164857,-340115.5121381679,340115.5121381679,206.30941490999345
2025-11-11,2025-11-16,5,503825.29318125953,170834,-332991.29318125953,332991.29318125953,194.9209719267005
2025-11-11,2025-11-17,6,502770.6162724944,103192,-399578.6162724944,399578.6162724944,387.21859860502207
2025-11-11,2025-11-18,7,504972.5121381679,143089,-361883.5121381679,361883.5121381679,252.90798883084506
2025-11-18,2025-11-19,1,116338.56090485051,104352,-11986.560904850514,11986.560904850514,11.486661400692382
2025-11-18,2025-11-20,2,116338.56090485051,217011,100672.43909514949,100672.43909514949,46.39047748508116
2025-11-18,2025-11-21,3,116338.56090485051,133717,17378.439095149486,17378.439095149486,12.996432088028811
2025-11-18,2025-11-22,4,116338.56090485051,105407,-10931.560904850514,10931.560904850514,10.370811146176738
2025-11-18,2025-11-23,5,105219.86253778709,110485,5265.137462212908,5265.137462212908,4.765477179900356
2025-11-18,2025-11-24,6,116338.56090485051,136200,19861.439095149486,19861.439095149486,14.582554401725027
2025-11-18,2025-11-25,7,116338.56090485051,125745,9406.439095149486,9406.439095149486,7.480567096226082
2025-11-25,2025-11-26,1,236050.86304339304,125712,-110338.86304339304,110338.86304339304,87.77114598717151
